2014,1,The Fault in Our Stars (trade paperback),John Green
2013,1,Diary of a Wimpy Kid: Hard Luck,Jeff Kinney
2012,1,Fifty Shades of Grey,E.L. James
2011,1,The Litigators,John Grisham
2010,1,The Girl Who Kicked the Hornet's Nest,Stieg Larsson
2009,1,The Lost Symbol,Dan Brown
2008,1,The Appeal,John Grisham
2007,1,Harry Potter and the Deathly Hallows,J.K. Rowling
2006,1,For One More Day,Mitch Albom
2005,1,The Broker,John Grisham
2004,1,The Da Vinci Code,Dan Brown
2003,1,Harry Potter and the Order of the Phoenix,J.K. Rowling
2002,1,The Summons,John Grisham
2001,1,Desecration,Jerry B. Jenkins and Tim LaHaye
2000,1,The Brethren,John Grisham
1999,1,The Testament,John Grisham
1998,1,The Street Lawyer,John Grisham
1997,1,The Partner,John Grisham
1996,1,The Runaway Jury,John Grisham
1995,1,The Rainmaker,John Grisham
1994,1,The Chamber,John Grisham
1993,1,The Bridges of Madison County,Robert James Waller
1992,1,Dolores Claiborne,Stephen King
1991,1,Scarlett,Alexandra Ripley
1990,1,The Plains of Passage,Jean M. Auel
1989,1,Clear and Present Danger,Tom Clancy
1988,1,The Cardinal of the Kremlin,Tom Clancy
1987,1,The Tommyknockers,Stephen King
1986,1,It,Stephen King
1985,1,The Mammoth Hunters,Jean M. Auel
1984,1,The Talisman,Stephen King and Peter Straub
1983,1,Return of the Jedi,James Kahn
1982,1,"E.T., The Extraterrestrial ",William Kotzwinkle
1981,1,Noble House,James Clavell
1980,1,The Covenant,James A. Michener
1979,1,The Matarese Circle,Robert Ludlum
1978,1,Chesapeake,James A. Michener
1977,1,The Silmarillion,J. R. R. Tolkien and Christopher Tolkien
1976,1,Trinity,Leon Uris
1975,1,Ragtime,E. L. Doctorow
1974,1,Centennial,James A. Michener
1973,1,Jonathan Livingston Seagull,Richard Bach
1972,1,Jonathan Livingston Seagull,Richard Bach
1971,1,Wheels,Arthur Hailey
1970,1,Love Story,Erich Segal
1969,1,Portnoy's Complaint,Philip Roth
1968,1,Airport,Arthur Hailey
